21.91,71.43,05/27/2019,17:58:52 
21.91,71.43,05/27/2019,17:58:54 
21.99,71.59,05/27/2019,17:58:55 
21.99,71.59,05/27/2019,17:58:56 
21.99,71.59,05/27/2019,17:58:57 
21.99,71.59,05/27/2019,17:58:58 
21.99,71.59,05/27/2019,17:58:59 
21.99,71.59,05/27/2019,17:59:00 
21.99,71.59,05/27/2019,17:59:01 
21.99,71.59,05/27/2019,17:59:02 
21.99,71.59,05/27/2019,17:59:03 
21.91,71.43,05/27/2019,17:59:04 
21.91,71.43,05/27/2019,17:59:05 
21.91,71.43,05/27/2019,17:59:06 
21.91,71.43,05/27/2019,17:59:07 
21.91,71.43,05/27/2019,17:59:08 
21.91,71.43,05/27/2019,17:59:09 
21.91,71.43,05/27/2019,17:59:10 
21.91,71.43,05/27/2019,17:59:11 
21.91,71.43,05/27/2019,17:59:12 
21.91,71.43,05/27/2019,17:59:13 
21.91,71.43,05/27/2019,17:59:14 
21.91,71.43,05/27/2019,17:59:15 
21.91,71.43,05/27/2019,17:59:16 
21.99,71.59,05/27/2019,17:59:17 
21.99,71.59,05/27/2019,17:59:18 
21.91,71.43,05/27/2019,17:59:19 
21.99,71.59,05/27/2019,17:59:20 
21.91,71.43,05/27/2019,17:59:21 
21.99,71.59,05/27/2019,17:59:22 
21.91,71.43,05/27/2019,17:59:23 
21.91,71.43,05/27/2019,17:59:24 
21.91,71.43,05/27/2019,17:59:26 
21.91,71.43,05/27/2019,17:59:27 
21.91,71.43,05/27/2019,17:59:28 
21.91,71.43,05/27/2019,17:59:29 
21.91,71.43,05/27/2019,17:59:30 
21.91,71.43,05/27/2019,17:59:31 
21.91,71.43,05/27/2019,17:59:32 
21.91,71.43,05/27/2019,17:59:33 
21.91,71.43,05/27/2019,17:59:34 
21.91,71.43,05/27/2019,17:59:35 
21.91,71.43,05/27/2019,17:59:36 
21.91,71.43,05/27/2019,17:59:37 
21.91,71.43,05/27/2019,17:59:38 
21.91,71.43,05/27/2019,17:59:39 
21.91,71.43,05/27/2019,17:59:40 
21.99,71.59,05/27/2019,17:59:41 
21.99,71.59,05/27/2019,17:59:42 
21.91,71.43,05/27/2019,17:59:43 
21.99,71.59,05/27/2019,17:59:44 
21.99,71.59,05/27/2019,17:59:45 
21.91,71.43,05/27/2019,17:59:46 
21.91,71.43,05/27/2019,17:59:47 
21.99,71.59,05/27/2019,17:59:48 
21.91,71.43,05/27/2019,17:59:49 
21.99,71.59,05/27/2019,17:59:50 
21.99,71.59,05/27/2019,17:59:51 
21.99,71.59,05/27/2019,17:59:52 
21.99,71.59,05/27/2019,17:59:53 
21.99,71.59,05/27/2019,17:59:54 
21.99,71.59,05/27/2019,17:59:55 
21.99,71.59,05/27/2019,17:59:56 
21.99,71.59,05/27/2019,17:59:57 
21.99,71.59,05/27/2019,17:59:58 
21.99,71.59,05/27/2019,17:59:59 
21.99,71.59,05/27/2019,18:00:00 
21.99,71.59,05/27/2019,18:00:01 
21.99,71.59,05/27/2019,18:00:02 
21.99,71.59,05/27/2019,18:00:03 
21.99,71.59,05/27/2019,18:00:04 
21.99,71.59,05/27/2019,18:00:05 
21.99,71.59,05/27/2019,18:00:06 
21.99,71.59,05/27/2019,18:00:07 
21.99,71.59,05/27/2019,18:00:08 
21.99,71.59,05/27/2019,18:00:09 
21.99,71.59,05/27/2019,18:00:10 
21.99,71.59,05/27/2019,18:00:11 
21.99,71.59,05/27/2019,18:00:12 
21.99,71.59,05/27/2019,18:00:13 
21.99,71.59,05/27/2019,18:00:14 
21.99,71.59,05/27/2019,18:00:15 
21.99,71.59,05/27/2019,18:00:16 
21.99,71.59,05/27/2019,18:00:17 
21.99,71.59,05/27/2019,18:00:18 
21.99,71.59,05/27/2019,18:00:19 
21.99,71.59,05/27/2019,18:00:20 
21.99,71.59,05/27/2019,18:00:21 
21.99,71.59,05/27/2019,18:00:22 
21.99,71.59,05/27/2019,18:00:23 
21.99,71.59,05/27/2019,18:00:24 
22.35,72.22,05/27/2019,18:00:25 
22.35,72.22,05/27/2019,18:00:26 
22.26,72.06,05/27/2019,18:00:27 
22.26,72.06,05/27/2019,18:00:28 
22.17,71.91,05/27/2019,18:00:29 
22.17,71.91,05/27/2019,18:00:30 
22.17,71.91,05/27/2019,18:00:31 
22.17,71.91,05/27/2019,18:00:32 
22.08,71.75,05/27/2019,18:00:33 
22.17,71.91,05/27/2019,18:00:34 
22.08,71.75,05/27/2019,18:00:36 
21.99,71.59,05/27/2019,18:00:37 
21.99,71.59,05/27/2019,18:00:38 
21.99,71.59,05/27/2019,18:00:39 
21.99,71.59,05/27/2019,18:00:40 
21.99,71.59,05/27/2019,18:00:41 
21.99,71.59,05/27/2019,18:00:42 
21.99,71.59,05/27/2019,18:00:43 
21.99,71.59,05/27/2019,18:00:44 
21.99,71.59,05/27/2019,18:00:45 
21.91,71.43,05/27/2019,18:00:46 
21.91,71.43,05/27/2019,18:00:47 
21.91,71.43,05/27/2019,18:00:48 
21.99,71.59,05/27/2019,18:00:49 
21.99,71.59,05/27/2019,18:00:50 
21.99,71.59,05/27/2019,18:00:51 
21.99,71.59,05/27/2019,18:00:52 
21.99,71.59,05/27/2019,18:00:53 
21.91,71.43,05/27/2019,18:00:54 
21.99,71.59,05/27/2019,18:00:55 
21.99,71.59,05/27/2019,18:00:56 
21.91,71.43,05/27/2019,18:00:57 
21.91,71.43,05/27/2019,18:00:58 
21.99,71.59,05/27/2019,18:00:59 
21.99,71.59,05/27/2019,18:01:00 
21.99,71.59,05/27/2019,18:01:01 
21.99,71.59,05/27/2019,18:01:02 
21.99,71.59,05/27/2019,18:01:03 
21.91,71.43,05/27/2019,18:01:04 
21.91,71.43,05/27/2019,18:01:05 
21.91,71.43,05/27/2019,18:01:06 
21.91,71.43,05/27/2019,18:01:07 
21.91,71.43,05/27/2019,18:01:08 
21.91,71.43,05/27/2019,18:01:09 
21.91,71.43,05/27/2019,18:01:10 
21.91,71.43,05/27/2019,18:01:11 
21.91,71.43,05/27/2019,18:01:12 
21.91,71.43,05/27/2019,18:01:13 
21.82,71.27,05/27/2019,18:01:14 
21.82,71.27,05/27/2019,18:01:15 
